sample_id,thickness,surface,material
2_of_Jenga_Classic_Game,mid,textured,matte
3M_Vinyl_Tape_Green_1_x_36_yd,mid,smooth,glossy
Animal_Planet_Foam_2Headed_Dragon,mid,detailed,matte
ASICS_GELAce_Pro_Pearl_WhitePink,thick,detailed,matte
Asus_M5A78LMUSB3_Motherboard_Micro_ATX_Socket_AM3,thin,detailed,mixed
Asus_Sabertooth_Z97_MARK_1_Motherboard_ATX_LGA1150_Socket,thin,detailed,mixed
BIA_Cordon_Bleu_White_Porcelain_Utensil_Holder_900028,thick,smooth,glossy
Black_Decker_Stainless_Steel_Toaster_4_Slice,thick,detailed,glossy
Black_Elderberry_Syrup_54_oz_Gaia_Herbs,thick,textured,glossy
BlackBlack_Nintendo_3DSXL,mid,smooth,glossy
Cole_Hardware_Deep_Bowl_Good_Earth_1075,mid,smooth,matte
Cole_Hardware_Dishtowel_BlueWhite,thin,textured,matte
Cole_Hardware_Hammer_Black,mid,smooth,mixed
Cole_Hardware_Mini_Honey_Dipper,thin,detailed,matte
Diet_Pepsi_Soda_Cola12_Pack_12_oz_Cans,thick,textured,glossy
Elephant,mid,detailed,matte
Frozen_Scrabble_Jr,thick,textured,glossy
Hefty_Waste_Basket_Decorative_Bronze_85_liter,thick,smooth,matte
Lenovo_Yoga_2_11,thin,smooth,glossy
Logitech_Ultimate_Ears_Boom_Wireless_Speaker_Night_Black,thick,textured,matte
Mens_Authentic_Original_Boat_Shoe_in_Navy_Leather_xgoEcZtRNmH,thick,detailed,matte
Now_Designs_Bowl_Akita_Black,mid,smooth,matte
Pony_C_Clamp_1440,thin,smooth,glossy
Razer_BlackWidow_Stealth_2014_Keyboard_07VFzIVabgh,thin,detailed,matte
Razer_Kraken_Pro_headset_Full_size_Black,mid,detailed,matte
Reef_Star_Cushion_Flipflops_Size_8_Black,thin,textured,matte
Sea_to_Summit_Xl_Bowl,mid,smooth,matte
Threshold_Porcelain_Serving_Bowl_Coupe_White,mid,smooth,glossy
Top_Paw_Dog_Bowl_Blue_Paw_Bone_Ceramic_25_fl_oz_total,mid,textured,glossy
Vtech_Cruise_Learn_Car_25_Years,thick,detailed,matte
